,date,open,high,low,close,volume,average,barCount
247,2020-03-26,1.08782,1.10588,1.086595,1.10312,-1,-1.0,-1
248,2020-03-27,1.102905,1.114745,1.095355,1.114215,-1,-1.0,-1
249,2020-03-30,1.11242,1.114445,1.101015,1.104475,-1,-1.0,-1
250,2020-03-31,1.10426,1.105515,1.092675,1.10332,-1,-1.0,-1
251,2020-04-01,1.10359,1.103925,1.090275,1.09629,-1,-1.0,-1
252,2020-04-02,1.09655,1.09686,1.082075,1.085675,-1,-1.0,-1
253,2020-04-03,1.085525,1.085945,1.077275,1.0811,-1,-1.0,-1
254,2020-04-06,1.081525,1.083555,1.076835,1.079265,-1,-1.0,-1
255,2020-04-07,1.07935,1.092725,1.078365,1.089175,-1,-1.0,-1
256,2020-04-08,1.089275,1.09022,1.083,1.08573,-1,-1.0,-1
257,2020-04-09,1.085085,1.09518,1.084095,1.09291,-1,-1.0,-1
258,2020-04-10,1.093275,1.09521,1.09196,1.09494,-1,-1.0,-1
